,Order No,Order Date,Customer Name,Address,City,Customer Type,Order Priority,Product Name,Product Category,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,DiscountPercent,DiscountMoney,Order Total,Shipping Cost,Total
44,5087-1,5/14/2013,Scot Wooten,"438 Victoria Avenue,Chatswood",Sydney,Corporate,Not Specified,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,21.56,36.55,14.99,45,1644.75,10,164.48,1480.28,13.89,1494.17
45,5089-1,5/15/2013,Jenna Caffey,"470 Anzac Parade,Kingsford",Sydney,Consumer,High,600 Series Non-Flip,Technology,19.78,45.99,26.21,14,643.86,2,12.88,630.98,4.99,635.97
46,5091-1,5/19/2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,Home Office,High,"210 Trimline Phone, White",Technology,9.91,15.99,6.08,7,111.93,3,3.36,108.57,11.28,119.85
47,5093-1,5/19/2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,Home Office,Not Specified,Steady Major Accent Highlighters,Office Supplies,3.75,7.08,3.33,29,205.32,4,8.21,197.11,2.35,199.46
48,5095-1,5/20/2013,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,Corporate,High,Aluminum Document Frame,Furniture,5.5,12.22,6.72,35,427.7,0,0.0,427.7,2.85,430.55
49,5097-1,5/20/2013,Brad Eason,"1737 Botany Rd,Banksmeadow",Sydney,Small Business,Not Specified,Artisan Legal 4-Ring Binder,Office Supplies,13.64,20.98,7.34,47,986.06,10,98.61,887.45,1.49,888.94
50,5099-1,5/21/2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,Consumer,High,Apex Elite Stainless Steel Scissors,Office Supplies,3.42,8.34,4.92,24,200.16,10,20.02,180.14,2.64,182.78
51,5101-1,5/22/2013,Thais Sissman,8 Orange Street,Perth,Small Business,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,4.59,7.28,2.69,2,14.56,8,1.16,13.4,11.15,24.55
52,5103-1,5/22/2013,Andy Reiter,"30 Wellington Street, Perth",Melbourne,Corporate,Critical,Smiths General Use 3-Ring Binders,Office Supplies,1.18,1.88,0.7,1,1.88,5,0.09,1.79,1.49,3.28
53,5104-1,5/23/2013,Becky Martin,"22 St Georges Terrace, Perth",Sydney,Home Office,Medium,Alto Keyboard-In-A-Box,Technology,6.4,29.1,22.7,33,960.3,1,9.6,950.7,4.0,954.7
54,5106-1,5/26/2013,Denny Ordway,"523 King St,Newtown",Sydney,Small Business,Critical,Artisan 48 Labels,Office Supplies,3.84,6.3,2.46,42,264.6,7,18.52,246.08,0.5,246.58
55,5108-1,5/27/2013,Luke Schmidt,"73 York St,Sydney",Sydney,Home Office,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,156.5,300.97,144.47,14,4213.58,10,421.36,3792.22,7.18,3799.4
56,5109-1,5/28/2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,Corporate,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,2.29,3.58,1.29,38,136.04,6,8.16,127.88,1.63,129.51
57,5111-1,5/29/2013,Eugene Moren,14/76 Newcastle Street,Perth,Home Office,High,Colored Envelopes,Office Supplies,2.25,3.69,1.44,35,129.15,3,3.87,125.28,2.5,127.78
58,5112-1,5/29/2013,Anthony Rawles,"14 Money Street, Perth",Perth,Small Business,Medium,Xit Blank Computer Paper,Office Supplies,12.39,19.98,7.59,13,259.74,10,25.97,233.77,5.77,239.54
59,5113-1,5/31/2013,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,Corporate,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,8.92,29.74,20.82,14,416.36,2,8.33,408.03,6.64,414.67
60,5114-1,5/31/2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,Small Business,Not Specified,TechSavi Cordless Elite Duo,Technology,60.59,100.98,40.39,33,3332.34,5,166.62,3165.72,7.18,3172.9
61,5115-1,5/31/2013,Joy Smith,"221 Barkly St,St Kilda",Melbourne,Consumer,Low,"Wirebound Message Book, 4 per Page",Office Supplies,3.48,5.43,1.95,29,157.47,7,11.02,146.45,0.95,147.4
62,5117-1,6/2/2013,Jim Epp,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,Small Business,Low,Laser DVD-RAM discs,Technology,20.18,35.41,15.23,38,1345.58,3,40.37,1305.21,1.99,1307.2
63,5119-1,6/4/2013,Mike Vittorini,"211/25-29 Dixon St,Haymarket",Sydney,Small Business,Not Specified,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,1.76,3.38,1.62,34,114.92,7,8.04,106.88,0.85,107.73
64,5120-1,6/5/2013,Neil Knudson,"4A Lyons St,Strathfield",Sydney,Home Office,Critical,Artisan Arch Ring Binders,Office Supplies,36.02,58.1,22.08,10,581.0,9,52.29,528.71,1.49,530.2
65,5122-1,6/5/2013,Deborah Brumfield,"501 George St,Sydney",Sydney,Corporate,Low,UGen Ultra Professional Cordless Optical Suite,Technology,156.5,300.97,144.47,38,11436.86,9,1029.32,10407.54,7.18,10414.72
66,5124-1,6/6/2013,Erica Hernandez,"12 Princess Hwy,Sylvania",Sydney,Small Business,Medium,Apex Elite Stainless Steel Scissors,Office Supplies,3.42,8.34,4.92,30,250.2,2,5.0,245.2,2.64,247.84
67,5125-1,6/7/2013,Janet Martin,"24 Addison Rd,Marrickville",Sydney,Corporate,Not Specified,TechSavi Cordless Elite Duo,Technology,60.59,100.98,40.39,29,2928.42,3,87.85,2840.57,7.18,2847.75
68,5127-1,6/9/2013,Beth Thompson,"101 Murray Street, Perth",Sydney,Corporate,Not Specified,Deluxe Rollaway Locking File with Drawer,Office Supplies,178.83,415.88,237.05,2,831.76,7,58.22,773.54,11.37,784.91
69,5128-1,6/10/2013,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,Small Business,Medium,EcoTones Memo Sheets,Office Supplies,2.52,4.0,1.48,39,156.0,8,12.48,143.52,1.3,144.82
70,5129-1,6/11/2013,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,Consumer,Low,Smiths Colored Interoffice Envelopes,Office Supplies,19.83,30.98,11.15,49,1518.02,9,136.62,1381.4,19.51,1400.91
71,5131-1,6/15/2013,Steve Nguyen,"61 York St,Sydney",Sydney,Small Business,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,156.5,300.97,144.47,5,1504.85,7,105.34,1399.51,7.18,1406.69
72,5133-1,6/15/2013,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,Consumer,High,Wirebound Voice Message Log Book,Office Supplies,2.9,4.76,1.86,27,128.52,7,9.0,119.52,0.88,120.4
73,5134-1,6/16/2013,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,Corporate,Low,UGen Ultra Professional Cordless Optical Suite,Technology,156.5,300.97,144.47,1,300.97,6,18.06,282.91,7.18,290.09
74,5135-1,6/20/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,Small Business,Medium,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,2.29,3.58,1.29,10,35.8,5,1.79,34.01,1.63,35.64
75,5137-1,6/21/2013,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,Corporate,Medium,Multimedia Mailers,Office Supplies,99.39,162.93,63.54,7,1140.51,3,34.22,1106.29,19.99,1126.28
76,5138-1,6/21/2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,Small Business,High,Smiths Metal Binder Clips,Office Supplies,1.6,2.62,1.02,34,89.08,8,7.13,81.95,0.8,82.75
77,5140-1,6/24/2013,Paul Lucas,"8 Quay Street,Haymarket",Sydney,Corporate,High,3Max Organizer Strips,Office Supplies,3.4,5.4,2.0,25,135.0,9,12.15,122.85,7.78,130.63
78,5142-1,6/25/2013,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,Home Office,High,PastelOcean Color Pencil Set,Office Supplies,11.11,19.84,8.73,26,515.84,7,36.11,479.73,4.1,483.83
79,5144-1,6/26/2013,Roy Collins,6 Brookman Street,Perth,Corporate,Critical,Smiths Gold Paper Clips,Office Supplies,1.82,2.98,1.16,3,8.94,9,0.8,8.14,1.58,9.72
80,5148-1,6/29/2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,Home Office,Medium,Economy Binders,Office Supplies,1.33,2.08,0.75,44,91.52,4,3.66,87.86,1.49,89.35
81,5150-1,6/29/2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,Small Business,Not Specified,HFX 6S Scientific Calculator,Technology,7.92,12.99,5.07,49,636.51,7,44.56,591.95,9.44,601.39
82,5152-1,6/30/2013,Mitch Gastineau,"85-113 Dunning Ave,Rosebery",Sydney,Small Business,Low,Beekin 105-Key Black Keyboard,Technology,6.39,19.98,13.59,19,379.62,8,30.37,349.25,4.0,353.25
83,5154-1,7/2/2013,Stuart Calhoun,"359 Crown Street,Surry Hills",Sydney,Consumer,High,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,1.87,8.12,6.25,32,259.84,8,20.79,239.05,2.83,241.88
84,5156-1,7/3/2013,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,Home Office,High,Self-Adhesive Removable Labels,Office Supplies,1.98,3.15,1.17,23,72.45,1,0.72,71.73,0.49,72.22
85,5158-1,7/3/2013,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,Corporate,Not Specified,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,16.85,27.18,10.33,34,924.12,10,92.41,831.71,8.23,839.94
86,5159-1,7/4/2013,Sara Luxemburg,"180 High Street,Windsor",Melbourne,Small Business,Critical,Smiths Metal Binder Clips,Office Supplies,1.6,2.62,1.02,21,55.02,5,2.75,52.27,0.8,53.07
87,5160-1,7/5/2013,Berenike Kampe,"32/82 King Street, Perth",Melbourne,Corporate,Not Specified,1726 Digital Answering Machine,Technology,8.82,20.99,12.17,41,860.59,2,17.21,843.38,4.81,848.19
88,5160-2,7/5/2013,Berenike Kampe,"32/82 King Street, Perth",Melbourne,Corporate,Not Specified,3Max Organizer Strips,Office Supplies,3.4,5.4,2.0,26,140.4,5,7.02,133.38,7.78,141.16
89,5163-1,7/6/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,Small Business,Medium,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,21.56,35.94,14.38,28,1006.32,1,10.06,996.26,6.66,1002.92
90,5165-1,7/10/2013,Julie Kriz,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,Corporate,Critical,Artisan Non-Stick Binders,Office Supplies,2.74,4.49,1.75,11,49.39,8,3.95,45.44,1.49,46.93
91,5166-1,7/10/2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,Corporate,Not Specified,DrawIt Colored Pencils,Office Supplies,4.37,9.11,4.74,6,54.66,4,2.19,52.47,2.25,54.72
92,5168-1,7/15/2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,Consumer,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,3.88,6.47,2.59,20,129.4,2,2.59,126.81,1.22,128.03
93,5168-2,7/15/2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,Consumer,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,1.31,2.84,1.53,39,110.76,7,7.75,103.01,0.93,103.94
94,5171-1,7/16/2013,George Zrebassa,"81 MacLeay St,Potts Point",Sydney,Home Office,Critical,Bagged Rubber Bands,Office Supplies,0.24,1.26,1.02,10,12.6,10,1.26,11.34,0.7,12.04
95,5173-1,7/16/2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,Corporate,High,Wirebound Voice Message Log Book,Office Supplies,2.9,4.76,1.86,13,61.88,7,4.33,57.55,0.88,58.43
96,5174-1,7/17/2013,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,Consumer,Low,UGen Ultra Cordless Optical Suite,Technology,54.52,100.97,46.45,35,3533.95,5,176.7,3357.25,7.18,3364.43
97,5175-1,7/18/2013,Ben Wallace,"6 Brookman Street, Perth",Melbourne,Home Office,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,3.42,8.34,4.92,15,125.1,0,0.0,125.1,2.64,127.74
98,5177-1,7/20/2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,Small Business,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,5.33,8.6,3.27,23,197.8,2,3.96,193.84,6.19,200.03
99,5178-1,7/21/2013,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,Corporate,High,Cando PC940 Copier,Technology,278.99,449.99,171.0,12,5399.88,6,323.99,5075.89,49.0,5124.89
100,5180-1,7/22/2013,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,Corporate,High,Economy Binders,Office Supplies,1.33,2.08,0.75,11,22.88,1,0.23,22.65,1.49,24.14
101,5181-1,7/22/2013,Edward Becker,"501 George St,Sydney",Sydney,Corporate,Low,TechSavi Internet Navigator Keyboard,Technology,6.51,30.98,24.47,29,898.42,3,26.95,871.47,6.5,877.97
102,5183-1,7/23/2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,Corporate,Not Specified,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,2.98,5.84,2.86,11,64.24,1,0.64,63.6,0.83,64.43
103,5185-1,7/24/2013,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,Home Office,Critical,Artisan Hanging File Binders,Office Supplies,3.65,5.98,2.33,14,83.72,9,7.53,76.19,1.49,77.68
104,5186-1,7/26/2013,Eric Barreto,14 Money Street,Perth,Consumer,Low,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,4.46,10.89,6.43,37,402.93,6,24.18,378.75,4.5,383.25
105,5188-1,7/26/2013,Charles Sheldon,"180 High Street,Windsor",Melbourne,Corporate,Low,TechSavi Internet Navigator Keyboard,Technology,6.51,30.98,24.47,8,247.84,1,2.48,245.36,6.5,251.86
106,5189-1,7/27/2013,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,Small Business,Low,Adesso Programmable 142-Key Keyboard,Technology,39.64,152.48,112.84,31,4726.88,7,330.88,4396.0,6.5,4402.5
107,5191-1,7/28/2013,Thais Sissman,8 Orange Street,Perth,Corporate,Not Specified,Fluorescent Highlighters by DrawIt,Office Supplies,1.95,3.98,2.03,30,119.4,10,11.94,107.46,0.83,108.29
108,5193-1,7/29/2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,Small Business,Not Specified,Artisan 481 Labels,Office Supplies,1.94,3.08,1.14,38,117.04,4,4.68,112.36,0.99,113.35
109,5194-1,7/30/2013,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,Corporate,Not Specified,Emerson C82 Color Inkjet Printer,Technology,76.79,119.99,43.2,24,2879.76,2,57.6,2822.16,14.0,2836.16
110,5195-1,7/31/2013,Alex Grayson,"74 Lindsay Street, Perth",Sydney,Consumer,Medium,Artisan Durable Binders,Office Supplies,1.84,2.88,1.04,11,31.68,9,2.85,28.83,1.49,30.32
111,5195-2,7/31/2013,Alex Grayson,"75 Lindsay Street, Perth",Sydney,Consumer,Medium,Beekin 105-Key Black Keyboard,Technology,6.39,19.98,13.59,43,859.14,10,85.91,773.23,4.0,777.23
112,5198-1,8/2/2013,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,Corporate,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,1.53,2.78,1.25,40,111.2,3,3.34,107.86,1.34,109.2
113,5200-1,8/6/2013,Seth Vernon,"541 Church St,Richmond",Melbourne,Home Office,Critical,Artisan Poly Binder Pockets,Office Supplies,2.26,3.58,1.32,46,164.68,6,9.88,154.8,5.47,160.27
114,5201-1,8/7/2013,Vivian Mathis,"Crown Complex,Southbank",Melbourne,Home Office,High,Barrel Sharpener,Office Supplies,1.46,3.57,2.11,23,82.11,9,7.39,74.72,4.17,78.89
115,5202-1,8/8/2013,Harold Ryan,"4A Lyons St,Strathfield",Sydney,Home Office,Not Specified,TechSavi Internet Navigator Keyboard,Technology,6.51,30.98,24.47,44,1363.12,2,27.26,1335.86,6.5,1342.36
116,5204-1,8/9/2013,Kean Takahito,"21 Wentworth St,Parramatta",Sydney,Home Office,Not Specified,Binding Machine Supplies,Office Supplies,18.38,29.17,10.79,8,233.36,2,4.67,228.69,6.27,234.96
117,5206-1,8/9/2013,Tony Sayre,"499-501 Lygon Street,Carlton North",Melbourne,Small Business,Low,Cando PC940 Copier,Technology,216.0,449.99,233.99,40,17999.6,4,719.98,17279.62,24.49,17304.11
118,5207-1,8/9/2013,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,Corporate,Low,Cando S750 Color Inkjet Printer,Technology,75.0,120.97,45.97,35,4233.95,8,338.72,3895.23,26.3,3921.53
119,5208-1,8/10/2013,Edward Hooks,"224A Gertrude St,Fitzroy",Melbourne,Consumer,High,Binder Posts,Office Supplies,3.5,5.74,2.24,50,287.0,10,28.7,258.3,5.01,263.31
120,5209-1,8/11/2013,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,Corporate,Low,Binder Clips by OIC,Office Supplies,0.93,1.48,0.55,19,28.12,9,2.53,25.59,0.7,26.29
