Rank,Customer Name,Total Profit,Percent Of Accued Profit 2015
174,Lindsay Castell,21.055999999999994,99.7%
175,Katrina Edelman,20.580799999999996,99.7%
176,Craig Carroll,18.228,99.7%
177,Pete Armstrong,18.019199999999998,99.7%
178,Yana Sorensen,17.840000000000003,99.7%
179,Matthew Grinstein,17.7848,99.7%
180,Maurice Satty,17.187,99.7%
181,Linda Southworth,17.041199999999996,99.8%
182,Grant Thornton,16.6764,99.8%
183,Jeremy Pistek,16.543999999999997,99.8%
184,Jennifer Braxton,16.3215,99.8%
185,Christopher Conant,16.1742,99.8%
186,Barbara Fisher,16.000000000000004,99.8%
187,Ann Blume,15.914399999999997,99.8%
188,Katherine Nockton,15.229999999999997,99.8%
189,Darrin Sayre,15.187199999999999,99.8%
190,Liz MacKendrick,15.007999999999997,99.9%
191,Carlos Meador,14.335999999999997,99.9%
192,Barry Blumstein,14.0062,99.9%
193,Roy Phan,13.759199999999998,99.9%
194,Christy Brittain,13.525399999999996,99.9%
195,Phillip Flathmann,11.9228,99.9%
196,Brian DeCherney,11.688999999999997,99.9%
197,Ralph Arnett,11.630000000000003,99.9%
198,Dan Lawera,11.368,99.9%
199,Peter Fuller,10.45,99.9%
200,Roy French,9.359999999999998,99.9%
201,Karen Ferguson,7.738,99.9%
202,Katrina Willman,6.993900000000001,100.0%
203,Pauline Webber,6.984600000000002,100.0%
204,Claire Good,6.747999999999999,100.0%
205,Sarah Bern,6.468,100.0%
206,Trudy Brown,5.679999999999999,100.0%
207,Tracy Poddar,5.374,100.0%
208,Bobby Elias,4.8798,100.0%
209,Scott Cohen,4.848,100.0%
210,Susan Pistek,4.1904,100.0%
211,Kelly Lampkin,3.9753000000000007,100.0%
212,Sung Shariari,3.410399999999999,100.0%
213,Damala Kotsonis,2.8979999999999997,100.0%
214,Beth Paige,2.748,100.0%
215,Eva Jacobs,2.5264,100.0%
216,Michael Paige,2.4616000000000002,100.0%
217,Jasper Cacioppo,2.073,100.0%
218,Frank Atkinson,1.8599999999999999,100.0%
219,Ricardo Emerson,0.5351999999999999,100.0%
220,Ken Dana,0.5307999999999999,100.0%
